
    RRR       TTT         POTCI    POTHF    VCORR
    7.3    87.62004850   -20.92     0.80   -21.72
    7.3    20.39188960    -4.91    74.20   -79.11
    7.3    73.97848510   -21.97     2.63   -24.61
    7.3    99.46675870   -21.29     1.38   -22.67
    7.3   141.88421630   -21.51    34.44   -55.95
    7.3    59.10213090   -24.07     9.15   -33.22
    7.3   139.63761900   -22.54    30.48   -53.02
    7.3    13.80265620     3.03    88.83   -85.81
    7.3   121.54989620   -24.14     9.60   -33.74
    7.3   157.45613100    -7.54    69.02   -76.56
    7.3   129.13816830   -24.57    16.18   -40.74
    7.3   147.89146420   -17.48    46.55   -64.03
    7.3    18.00910950    -1.97    79.77   -81.75
    7.3    70.07110600   -22.50     3.78   -26.28
    7.3    75.73651120   -21.76     2.22   -23.98
    7.3    49.90045930   -24.53    17.22   -41.75
    7.3    19.48872180    -3.80    76.34   -80.14
    7.3   109.63066860   -22.46     3.68   -26.14
    7.3   110.34975430   -22.56     3.92   -26.48
    7.3   102.63821410   -21.58     1.89   -23.48
    7.3   148.74354550   -16.75    48.43   -65.19
    7.3    56.19109340   -24.37    11.28   -35.65
    7.3   110.15803530   -22.54     3.85   -26.39
    7.3   129.58482360   -24.55    16.66   -41.21
    7.3    59.65483090   -24.00     8.78   -32.78
    7.3    58.27049640   -24.16     9.72   -33.88
    7.3   107.55702210   -22.17     3.04   -25.22
    7.3   124.48899080   -24.42    11.83   -36.25
    7.3    62.74945070   -23.58     6.94   -30.53
    7.3   165.39065550     2.10    87.20   -85.09
    7.3    69.65899660   -22.56     3.92   -26.48
    7.3   140.80390930   -22.03    32.50   -54.53
    7.3   122.20458980   -24.21    10.06   -34.28
    7.3    79.92139430   -21.34     1.47   -22.81
    7.3    21.20668410    -5.91    72.25   -78.16
    7.3   107.76528930   -22.20     3.10   -25.30
    7.3    32.27174000   -17.61    46.20   -63.81
    7.3    75.04463200   -21.84     2.38   -24.22
    7.3   108.94224550   -22.36     3.46   -25.82
    7.3   108.02918240   -22.24     3.18   -25.42
    7.3     0.00000000    11.87   103.88   -92.01
    7.3   120.24359890   -23.99     8.72   -32.70
    7.3    64.59759520   -23.31     6.00   -29.31
    7.3    31.24980930   -16.75    48.45   -65.19
    7.3   137.08203120   -23.43    26.37   -49.80
    7.3    25.32019420   -10.78    62.30   -73.08
    7.3   136.09263610   -23.69    24.89   -48.59
    7.3   113.96414180   -23.10     5.33   -28.43
    7.3   124.94315340   -24.45    12.21   -36.66
    7.3    96.02639010   -21.06     1.01   -22.06
    7.3   119.37512970   -23.88     8.17   -32.05
                                                  
